custom_position,city_vac,offer_education_id,operating_schedule_id,offer_experience_year_count,description,profession,salary
Электрослесарь дежурный и по ремонту оборудования,Чита,,Полный день,Более 6 лет,"требования: ???????начальное профессиональное, среднее профессиональное – электрослесарь ?????",слесарь,
Электрослесарь Нефтебазы (г.Оленегорск),,среднее специальное (техническое) образование,Полный день,От 1 года до 3 лет,требования: среднее специальное (техническое) образование условия: - работа по графику. - оформление в соответствии с тк рф; ежегодный отпуск 52 календарных дня; - компенсация проезда в отпуск и обратно один раз в два года; дмс; льготные санаторные путёвки; корпоративная пенсия.,слесарь,
Электрослесарь по ремонту оборудования распределительных устройств,Омск,образование: профессиональное обучение по профессии рабочий,Полный день,От 1 года до 3 лет,"требования: образование: профессиональное обучение по профессии рабочий специализация по образованию: электрослесарь, электромонтер опыт работы в электроустановках выше 1000в, ремонт электрооборудования в должности рабочий технические навыки: знание первичного оборудования пс 35-110 кв. условия: официальное трудоустройство; график работы 5 дневная рабочая неделя с 8.00 до 17.00; полный соц. пакет; достойная белая заработная плата. добро пожаловать в большую энергетику!!!",слесарь,22000.0
Электрослесарь по обслуживанию автоматики и средств измерений,Красноярск,,Сменный график,От 1 года до 3 лет,"требования: образование среднее профессиональное, профильное стаж работы не менее 1 года условия: сменный режим по графику. продолжительность смены 12 часов соц.пакет",слесарь,
Электрослесарь по ремонту электрических машин 5 разряда (филиал Энергоремонт),Калининград,,Полный день,От 1 года до 3 лет,"требования: начальное или среднее профессиональное образование. опыт работы по специальности. условия: оформление по тк рф, соц. пакет работа в филиале энергоремонт испытательный срок 3 месяца",слесарь,
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций,,,Полный день,От 1 года до 3 лет,"требования: специальные навыки, профессиональные знания: чтение проектной документации. умение работать с электроинструментом, слесарные навыки знание принципов работы средств измерений, метрология, мехатроника, систем асу тп уверенный пользователь пк условия: полный соц пакет. официальное трудоустройство дмс",слесарь,
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений 3-6 разряд,,среднее профессиональное образование по программе подготовки квалифицированных рабочих;,Полный день,От 1 года до 3 лет,"требования: среднее профессиональное образование по программе подготовки квалифицированных рабочих; опыт работы не менее 1 года; навык слесарных и слесарно-сборочных работ средней степени сложности; знание приемов работы с инструментами и приспособлениями при ремонте и обслуживании средств измерений, правил монтажа средств измерений, методов определения и поиска неисправностей в средствах измерений; знание условных обозначений в теплотехнических и электрических схемах, методов выполнения измерений. условия: полная занятость, полный рабочий день, пятидневная рабочая неделя; стабильная заработная плата (от 34 500 до 51 600 руб/мес); пакет социальных льгот, предусмотренных коллективным договором (подробно при собеседовании).",слесарь,43050.0
Электрослесарь по ремонту электрооборудования,,,Полный день,Нет опыта,требования: наличие удостоверения по профессии (при отсутствии осуществляется обучение на рабочем месте за счёт средств работодателя) условия: оформление на работу в соответствии с законодательством рф наличие льготного пенсионного стажа своевременная выплата заработной платы наличие социального пакета доставка на работу служебным транспортом,слесарь,42500.0
Электрослесарь по ремонту электрооборудования,,,Полный день,Нет опыта,требования: наличие удостоверения по профессии (при отсутствии осуществляется обучение на рабочем месте за счёт средств работодателя) условия: оформление на работу в соответствии с законодательством рф наличие льготного пенсионного стажа своевременная выплата заработной платы наличие социального пакета доставка на работу служебным транспортом,слесарь,42500.0
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений,,,Полный день,От 1 года до 3 лет,"требования: стаж работы от 1 года; ответственность, оперативность, внимательность, высокая работоспособность, коммуникабельность.",слесарь,
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций,Бийск,профильное образование (среднее профессиональное/высшее). рассмотрим выпускников 2021 г.,Полный день,Нет опыта,"требования: профильное образование (среднее профессиональное/высшее). рассмотрим выпускников 2021 г. условия: официальное трудоустройство в соответствии с тк рф социальный пакет, стабильная заработная плата, дмс место работы: цех тепловой автоматики и измерений, ао «бийскэнерго», г. бийск режим работы: 5/2, пн-чт 8.00-17.00, пт 8.00 - 15.45",слесарь,
Электрослесарь по  обслуживанию и ремонту оборудования ТЭС 5 разряда,Барнаул,,Полный день,Нет опыта,"требования: среднее/высшее профессиональное образовании (техническое) знание электротехники; чтение электрических схем; принцип работы систем измерений; условия: работа в крупной энергетической компании; трудоустройство строго в соответствии с тк рф; график работы сменный; служебный транспорт; дмс; компенсация аренды жилья для молодых специалистов, материальная помощь к отпуску, компенсация стоимости детских путевок в дол.",слесарь,32000.0
Электрослесарь по обслуживанию и ремонту оборудования ТЭС 5 разряда,Барнаул,,Полный день,От 1 года до 3 лет,"требования: среднее / высшее профессиональное образование (техническое); опыт работы в электроэнергетике от 1 года; знания электротехники; владение приемами работ с основным слесарным и электрическим инструментом. условия: работа в крупной энергетической компании; трудоустройство строго в соответствии с тк рф; график работы 5/2 (суб., воскр. выходной); служебный транспорт; дмс; расширенный социальный пакет (компенсация аренды жилья иногородним молодым специалистам, материальная помощь к отпуску, в связи с рождением ребенка, компенсация стоимости детских путевок и т.п.)",слесарь,28797.0
Электрослесарь (слесарь) дежурный и по ремонту оборудования,,,Сменный график,От 1 года до 3 лет,"требования: наличие удостоверения по профессии (3,4,5 разряд); опыт работы от 2 месяцев. условия: место работы: ш. ерунаковская - 8; график работы: 2/2 с ночными сменами; доставка до места работы; работа в крупнейшей холдинговой структуре, лидере горнодобывающего и металлургического рынка; работа на современном высокотехнологичном оборудовании; система охраны труда соответствующая мировым стандартам; конкурентная заработная плата и условия труда; возможность повышение профессиональной квалификации за счет предприятия; расширенный социальный пакет; полное обеспечение спец.одеждой; дотация на питание; ждем вас в команде профессионалов evrazа!",слесарь,38000.0
Электрослесарь по ремонту оборудования распределительных устройств 3 разряда,,,Полный день,От 1 года до 3 лет,"требования: наличие профессионального обучения по программам профессиональной подготовки/переподготовки рабочих; опыт работы в энергетических предприятиях; навык применения средств пожаротушения, оказания первой медицинской помощи; исполнительность, желание обучаться, ответственность. условия: наличие командировок; социальный пакет, дмс, страхование от несчастных случаев.",слесарь,
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанции 4 разряда,Петропавловск-Камчатский,"среднее профессиональное образование, прошедшие обучение по профессии электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций 4 р.",Полный день,Нет опыта,"Среднее профессиональное образование, прошедшие обучение по профессии электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций 4 р. Обязанности: 1. Производить ремонт, монтаж, регулирование, испытание, юстировку электромагнитных, электродинамических и других средств измерений теплотехнического контроля и автоматики средней сложности с разборкой кинематики и подвижной системы и доводкой ответственных деталей и узлов. 2. Производить настройку и наладку устройств релейных схем защиты и автоматики технологического оборудования. 3. Ремонтировать средства измерений и авторегулирования с разборкой или заменой измерительной системы, регулированием кинематики, градуировкой или переградуировкой. 4. Определять дефекты в средствах измерений авторегулирования и управления и уметь устранять их. 5. Производить разметку и монтаж схем сочленений и соединений деталей приборов. 6. Составлять дефектные ведомости и заполнять паспорта и аттестаты на приборы и автоматические устройства. 7. Производить слесарную обработку деталей по 7-10 квалитетам (2-3 классам точности), сборка зубчатых передач и червячных зацеплений. 8. Производить проверку, настройку, наладку авторегуляторов одноимпульсных на действующем оборудовании. 9. Производить ревизию и наладку весов автоматических, ленточных, ковшовых 10. Производить монтаж диафрагм измерительных и типовых отборных устройств к уровнемерам. 11. Производить коммутацию схем теплового контроля и электрических схем средней сложности-сборка и монтаж на действующем оборудовании 12. Производить ремонт средств измерении регулирующих, электронных, в том числе подключенных к ПТК 13. Производить ремонт кинематики и измерительной схемы средств измерений электронных, вторичных с дифференциальной трансформаторной схемой 14. Производить ремонт без разбора механизмов кинематики потенциометров и электронных мостов. 15. И другие. Условия: Полный социальный пакет",слесарь,
Электрослесарь по ремонту электрических машин 6 разряда,Барнаул,,Полный день,От 1 года до 3 лет,"требования: среднее профессиональное образование (электротехническое) опыт работы по ремонту грузоподъемных механизмов, электроустановок до 1000 в. условия: работа в крупной энергетической компании; график работы 5/2; доставка служебным транспортом; дмс расширенный социальный пакет (компенсация аренды жилья иногородним молодым специалистам, материальная помощь к отпуску, в связи с рождением ребенка, компенсация стоимости детских путевок и т.п.)",слесарь,28376.0
Электрослесарь по ремонту электрических машин 5 разряда,Барнаул,,Полный день,От 1 года до 3 лет,"требования: среднее профессиональное образование; умение читать электрические схемы, пользоваться измерительными приборами и инструментом. наличие опыта, связанного с монтажом электрооборудования, ремонтом и настройкой электротехнического оборудования (желательно по подъёмным сооружениям) условия: работа в крупной энергетической компании; график работы 5/2; служебный транспорт; дмс; расширенный социальный пакет (компенсация аренды жилья иногородним молодым специалистам, материальная помощь к отпуску, в связи с рождением ребенка, компенсация стоимости детских путевок и т.п.)",слесарь,29877.0
Электрослесарь по обслуживанию автоматики и средств измерений электростанций 5 разряда,Барнаул,,Сменный график,Нет опыта,"требования: среднее профессиональное образование (автоматизация тех. процессов); знания: электрических и тепловых схемы средств теплотехнического контроля и авторегулирования оборудования; приемов работ и последовательность операций при ремонте, наладке и монтаже особо сложных средств измерений теплотехнического контроля, авторегулирования, систем централизованного контроля и управления; классификации электронных усилителей; электронные генераторы, мультивибраторы, ограничители, тиристоры; свойств металлов, проводников, полупроводников, электронных схем, фотодатчиков и др. элементов, применяемых в приборостроении и промышленной электронике; номенклатуры материалов и запасных частей, необходимых для монтажа и ремонта средств измерений и авторегуляторов. условия: работа в крупной энергетической компании; график работы сменный (2 день/ выходной /2 ночи/ 3 выходных);; дмс; расширенный социальный пакет (компенсация аренды жилья иногородним молодым специалистам, материальная помощь к отпуску, в связи с рождением ребенка, компенсация стоимости детских путевок и т.п.)",слесарь,
"Электрослесарь КИПиА (Якутия (Саха), г. Нерюнгри)",,,Вахтовый метод,От 3 до 6 лет,"требования: опыт работы с кип от 2-х лет, желательно на объектах энергетики приветствуется опыт ремонта механических контрольно-измерительных приборов температурного контроля (ксм-2, ксп-2, кпп-1) и/или приборов расхода, давления, уровня (кпд-1, ксд-2) знание способов монтажа, наладки, обслуживания и ремонта приборов кипиа опыт чтения электрических схем iii - iv группа по эб условия: работа на объекте энергетики в республике саха (г. нерюнгри) график командировок 45/15 или 60/20 дней график работы на объекте - 5-дневная рабочая неделя (пн. - пт.), 8-часовой рабочий день, возможны оплачиваемые дежурства в выходные дни официальное трудоустройство &quot;белая&quot; заработная плата 60 000 - 70 000 р. в месяц в зависимости от квалификации, плюс командировочные 800 руб./сутки (24 000 руб. за 30 дней командировки) межвахта оплачивается в размере 50 % от заработной платы (30 000 - 35 000) предприятие оплачивает: проезд до места работы и обратно, проживание в благоустроенных квартирах (1-2 человека в комнате), спецодежда, медосмотр",слесарь,85000.0
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций,Москва,,Сменный график,От 1 года до 3 лет,"требованиями, выполнение восстановительных ремонтных работ систем, программируемых контроллеров и другого оборудования, диагностирование с помощью тестовых программ и стендов; составление принципиальных и монтажных схем для регулировки, испытание сложных и опытных образцов механизмов, приборов, систем, разработка нестандартных плат для систем управления. требования: среднее специальное/высшее законченное образование; соблюдение требований и правил безопасного поведения, принятых в компании. условия: работа в стабильной, динамично развивающейся компании; возможность профессионального и карьерного развития; полное соблюдение тк, белая з/п (выплата заработной платы два раза в месяц); график работы: сменный (ддвннввв д-день, в-выходной, н-ночь); работа на одной из 15 тэц москвы и мо; обучение в учебном центре мосэнерго; дмс после 3х мес. работы; страхование жизни; ежегодная доплата к отпуску в размере оклада; дотации на питание (столовая на территории филиала); обеспечение спецодеждой и обувью, средствами индивидуальной защиты; наличие индивидуального шкафчика для одежды и личных вещей; корпоративные мероприятия; ежегодная компенсация детского отдыха в размере 45 т.р.; спортивные мероприятия (футбол, волейбол, бег, лыжи, хоккей и т.д.), групповые тренировки; корпоративные скидки (фитнес, курсы иностранного языка, отдых в отелях и т.д.).",слесарь,
Электрослесарь по ремонту оборудования распределительных устройств/электромонтажник по освещению,Киров,,Полный день,Нет опыта,"требования: среднее профессиональное образование (электромонтер, электромонтажник)",слесарь,25000.0
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций (ТЭЦ-23),Москва,,Полный день,Нет опыта,"требованиями, выполнение восстановительных ремонтных работ систем, программируемых контроллеров и другого оборудования, диагностирование с помощью тестовых программ и стендов; составление принципиальных и монтажных схем для регулировки, испытание сложных и опытных образцов механизмов, приборов, систем, разработка нестандартных плат для систем управления, составление тестовых коррекций технологических программ оборудования, анализ, систематизация отказов в работе технологического оборудования и разработка рекомендаций для их устранения. требования: среднее специальное/высшее законченное образование; соблюдение требований и правил безопасного поведения, принятых в компании. условия: работа в стабильной, динамично развивающейся компании; возможность профессионального и карьерного развития; полное соблюдение тк, белая з/п (выплата заработной платы два раза в месяц); график работы: дневной (5/2 с 08:00 до 17:00); работа на одной из 15 тэц москвы и мо; обучение в учебном центре мосэнерго; дмс после 3х мес. работы; страхование жизни; ежегодная доплата к отпуску в размере оклада; дотации на питание (столовая на территории филиала); обеспечение спецодеждой и обувью, средствами индивидуальной защиты; наличие индивидуального шкафчика для одежды и личных вещей; корпоративные мероприятия; ежегодная компенсация детского отдыха в размере 45 т.р.; спортивные мероприятия (футбол, волейбол, бег, лыжи, хоккей и т.д.), групповые тренировки; корпоративные скидки (фитнес, курсы иностранного языка, отдых в отелях и т.д.).",слесарь,
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций (ТЭЦ-11),Москва,,Сменный график,Нет опыта,"требованиями, выполнение восстановительных ремонтных работ систем, программируемых контроллеров и другого оборудования, диагностирование с помощью тестовых программ и стендов; составление принципиальных и монтажных схем для регулировки, испытание сложных и опытных образцов механизмов, приборов, систем, разработка нестандартных плат для систем управления. требования: среднее специальное/высшее законченное образование; соблюдение требований и правил безопасного поведения, принятых в компании. условия: работа в стабильной, динамично развивающейся компании; возможность профессионального и карьерного развития; полное соблюдение тк, белая з/п (выплата заработной платы два раза в месяц); график работы: сменный (ддвннввв д-день, в-выходной, н-ночь); работа на одной из 15 тэц москвы и мо; обучение в учебном центре мосэнерго; дмс после 3х мес. работы; страхование жизни; ежегодная доплата к отпуску в размере оклада; дотации на питание (столовая на территории филиала); обеспечение спецодеждой и обувью, средствами индивидуальной защиты; наличие индивидуального шкафчика для одежды и личных вещей; корпоративные мероприятия; ежегодная компенсация детского отдыха в размере 45 т.р.; спортивные мероприятия (футбол, волейбол, бег, лыжи, хоккей и т.д.), групповые тренировки; корпоративные скидки (фитнес, курсы иностранного языка, отдых в отелях и т.д.).",слесарь,
Электрослесарь по ремонту и обслуживанию оборудования распределительных устройств 5 разряд,,,Полный день,От 1 года до 3 лет,"требования: образование электротехническое не ниже среднего профессионального (электропривод, электроснабжение промышленных предприятий). опыт работы условия: постоянная работа на апатитской тэц; зарплата 40 000 рублей в месяц на руки; пятидневная рабочая неделя с двумя выходными днями; дмс; социальный пакет в соответствии с коллективным договором.",слесарь,
"Электрослесарь по ремонту оборудования распределительных устройств (ЭПС ""Ферросплавная"")",Новокузнецк,,Полный день,От 1 года до 3 лет,"требования: образование среднее профессиональное, 4 группа электробезопасности; стаж работы не менее 1 года; навыки по ремонту и обслуживанию воздушных линий электропередач и ремонту высоковольтного оборудования, работа на высоте. условия: работа на крупном стабильном предприятии; официальное трудоустройство; расширенный социальный пакет; график работы 5/2; дотация на питание; заработная плата по договоренности;",слесарь,
Электрослесарь по ремонту оборудования распределительных устройств,,,Полный день,От 3 до 6 лет,"требования: среднее профессиональное образование соответствующего профиля, со стажем работы не менее 3-х лет условия: график работы 5\2 с 08:00 до 17:00, обеденный перерыв 12.00 -13.00 оформление в соответствии с трудовым кодексом рф (оплачиваемые больничный, отпуск); официальная заработная плата по собеседованию; работникам, принятым из других отраслей народного хозяйства, в стаж для начисления вознаграждения за выслугу лет могут включаться отдельно взятые периоды работы в отраслях энергетики. надбавка к должностному окладу за выслугу лет выплачивается ежемесячно с момента возникновения права на ее назначение; оплата сверхурочных работ, работ в выходные и праздничные дни; профессиональное обучение за счет компании; выплата разовых премий (к профессиональному празднику, к отпуску и др.). расширенная социальная программа: материальная помощь при различных жизненных ситуациях; оплата тренажерного зала , бассейна; организация корпоративных и спортивных мероприятий; добровольное медицинское страхование (дмс) для сотрудников; санаторно-курортное лечение по медицинским показаниям; помощь в получении мест в детские дошкольные учреждения и др.",слесарь,
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений КИПиА,Чита,,Полный день,От 1 года до 3 лет,"требования: должен знать: основы электроники; устройство различных типов электродвигателей постоянного и переменного тока, защитных и измерительных приборов, коммутационной аппаратуры; принцип действия оборудования источников питания образование по профилю, наличие свидетельства или диплом условия: режим работы с пн по пт, сб и вс выходной полный соц. пакет",слесарь,27500.0
Электрослесарь по ремонту электрических машин 4 разряда (Апатиты),,среднее профессиональное образование;,Полный день,Нет опыта,требования: среднее профессиональное образование; программа учебного центра профессиональной подготовки/переподготовки по профессии «электромонтер по обслуживанию электрооборудования электростанций». условия: постоянная работа на апатитской тэц; зарплата 35 000 рублей в месяц на руки; сменный график работы; дмс; социальный пакет в соответствии с коллективным договором.,слесарь,
Электрослесарь по ремонту оборудования распределительных устройств,Нижний Тагил,"образование – профессиональное обучение – программы профессиональной подготовки по профессиям рабочих, программы переподготовки рабочих, программы повышения квалификации рабочих;",Полный день,От 1 года до 3 лет,"требования: образование – профессиональное обучение – программы профессиональной подготовки по профессиям рабочих, программы переподготовки рабочих, программы повышения квалификации рабочих; опыт работы – не менее одного года по профессии электрослесаря по ремонту оборудования распределительных устройств с более низким (предшествующем) разрядом. условия: социальный пакет согласно трудовому кодексу рф и коллективному договору. обязательное добровольное и медицинское страхование. компенсация оплаты за детские сады. социальные гарантии и компенсации, оплата медицинских услуг, различные виды материальной помощи. заработная плата: оклад + премия при собеседовании.",слесарь,30000.0
Электрослесарь по ремонту оборудования распределительных устройств (Северная ТЭЦ),,"образование: среднее специальное, высшее по профилю.знания оборудования, допуски по электробезопасности (желательно).",Полный день,Нет опыта,"требования: образование: среднее специальное, высшее по профилю. знания оборудования, допуски по электробезопасности (желательно). условия: 1. график работы - пятидневка, с 8-08 до 16-50 (пт до 15-50) 2. бесплатное обучение 3. дмс (включая стоматологию) 4. оформление в соответствии с тк рф 5. служебная развозка от метро гражданский проспект и проспект просвещения",слесарь,
Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций (ТЭЦ 22),,,Полный день,От 1 года до 3 лет,"требования: среднее специальное/высшее законченное образование; соблюдение требований и правил безопасного поведения, принятых в компании. условия: работа в стабильной, динамично развивающейся компании; возможность профессионального и карьерного развития; полное соблюдение тк, белая з/п (выплата заработной платы два раза в месяц); график работы: дневной 5/2; работа на одной из 15 тэц москвы и мо; обучение в учебном центре мосэнерго; дмс после 3х мес. работы; страхование жизни; ежегодная доплата к отпуску в размере оклада; дотации на питание (столовая на территории филиала); обеспечение спецодеждой и обувью, средствами индивидуальной защиты; наличие индивидуального шкафчика для одежды и личных вещей; корпоративные мероприятия; ежегодная компенсация детского отдыха в размере 45 т.р.; спортивные мероприятия (футбол, волейбол, бег, лыжи, хоккей и т.д.), групповые тренировки; корпоративные скидки (фитнес, курсы иностранного языка, отдых в отелях и т.д.).",слесарь,
Электрослесарь по ремонту оборудования распределительных устройств (на ПС 750 кВ),Владимир,,Полный день,Нет опыта,"требования: у работника должен быть документ о прохождении профессиональной подготовки (или повышения квалификации) по одному из направлений: &quot;электромеханики и монтеры электрического оборудования&quot;, &quot;электрики в строительстве и рабочие родственных занятий&quot;, &quot;механики по ремонту и обслуживанию электронного оборудования&quot;. условия: официальное трудоустройство на работу; прохождение первичного (при устройстве на работу) и ежегодных медицинских осмотров за счет средств работодателя; обучение смежным профессиям, направление на курсы повышения квалификации за счет средств работодателя; предоставление ежегодных оплачиваемых отпусков, оплачиваемые листы нетрудоспособности; 8-ми часовой рабочий день с 8.00 до 17.00; оплата учебных отпусков. выплата материальной помощи к отпуску. выплата заработной платы 2 раза в месяц; оформление полиса добровольного медицинского страхования, позволяющего посещать определенные частные клиники г. владимира по страховке; обязательное страхование персонала от несчастных случаев в быту и на производстве за счет средств работодателя; негосударственное пенсионное обеспечение.",слесарь,
